idx	X	Y	component
0	1000	2374.137452544053	0
1	1001.845666660358	2373.283858991692	0
2	1001.846271917708	2373.283723091003	0
3	1032.096215852847	2340.700800757125	0
4	1032.09628775889	2340.700831377945	0
5	1033.125698237133	2338.939702792334	0
6	1032.096324862791	2340.700826609826	0
7	1033.125283798904	2338.939750021143	0
8	1033.125883242224	2338.939703366821	0
9	1041.616320065216	2333.264232266449	0
10	1041.616989738387	2333.264163062239	0
11	1042.225546137395	2332.449331771315	0
12	1041.615974837978	2333.264301271399	0
13	1042.22512406218	2332.44928026132	0
14	1042.224844928494	2332.449274821152	0
15	1051.633374913406	2326.443414007731	0
16	1051.6333120716	2326.443429751288	0
17	1052.447335215617	2325.834614497164	0
18	1051.63292109649	2326.443424079922	0
19	1052.446414515663	2325.834618584888	0
20	1052.446491305077	2325.834643511837	0
21	1062.009084618457	2322.461068066093	0
22	1062.009468166381	2322.461086958972	0
23	1062.798744431455	2321.828809721189	0
24	1062.008886210715	2322.461058041273	0
25	1062.797860841549	2321.828875448771	0
26	1062.798004724251	2321.828808062965	0
27	1099.278811037487	2306.456844041862	0
28	1099.278877392905	2306.456839627029	0
29	1100.228429656322	2306.055627221153	0
30	1099.278042703355	2306.456812976093	0
31	1100.227736647299	2306.055712738308	0
32	1100.228159661121	2306.055716599834	0
33	1110.258195558239	2303.955151296333	0
34	1110.257524777246	2303.955398932008	0
35	1111.208813384147	2303.589454340508	0
36	1110.258138283732	2303.955146204149	0
37	1111.211366566468	2303.588789563249	0
38	1111.20878685149	2303.589335388931	0
39	1113.662673368181	2303.306652882942	0
40	1113.66218568932	2303.307542993364	0
41	1113.732110670187	2303.284982205819	0
42	1113.738779956788	2303.282746373751	0
43	1117.92584375442	2301.553933847632	0
44	1117.927554785416	2301.553852070515	0
45	1118.661898836612	2300.804639149583	0
46	1117.927813481249	2301.553493675271	0
47	1118.659852885385	2300.805091071592	0
48	1118.662220323228	2300.804556486487	0
49	1129.956356987928	2296.022226956653	0
50	1129.956513828381	2296.022213837664	0
51	1131.639903792757	2294.880747147959	0
52	1129.956515519144	2296.022157269228	0
53	1131.639132047584	2294.880833062031	0
54	1131.639579372376	2294.880824614064	0
55	1175.335172487973	2284.662475528341	0
56	1175.336409334394	2284.6623005555	0
57	1176.167211782719	2284.071556255969	0
58	1175.335231750207	2284.662474978648	0
59	1176.166641579765	2284.071679172963	0
60	1176.166765128432	2284.071665589978	0
61	1222.252662662125	2259.673811099332	0
62	1222.253101433622	2259.673613866086	0
63	1222.913200886574	2258.880520541174	0
64	1222.252495550009	2259.673822601535	0
65	1222.911180213162	2258.880741340906	0
66	1222.913117614369	2258.880461747867	0
67	1226.370521628386	2256.70857533105	0
68	1226.370465911725	2256.708435579055	0
69	1227.206739045263	2256.113059814566	0
70	1226.36989934943	2256.708630969752	0
71	1227.206668633502	2256.113043804514	0
72	1227.206987597061	2256.113061095687	0
73	1228.082414768133	2255.571466620355	0
74	1228.082635930582	2255.571385338464	0
75	1229.913603226853	2254.663976291413	0
76	1228.082356289942	2255.571450663046	0
77	1229.910990335294	2254.664283149951	0
78	1229.913844687716	2254.66382127509	0
79	1252.903291570923	2245.945545573359	0
80	1252.904387831705	2245.94538847887	0
81	1253.828668393315	2245.464421742291	0
82	1252.903246201773	2245.945568096613	0
83	1253.826340703858	2245.464537905058	0
84	1253.826898001768	2245.464381648907	0
85	1269.386774469849	2237.669828793427	0
86	1269.388834919469	2237.669122235526	0
87	1270.107748049537	2236.942872256402	0
88	1269.386747306188	2237.66966671312	0
89	1270.107555984185	2236.942951340549	0
90	1270.107720001333	2236.942911022285	0
91	1277.595839579862	2233.110051619501	0
92	1277.550363226771	2233.130997072905	0
93	1277.637269378175	2233.084022982855	0
94	1277.593231044547	2233.10578216213	0
95	1287.775084807467	2230.314312763579	0
96	1287.775292618431	2230.314236614056	0
97	1288.630859964586	2229.745056148394	0
98	1287.773067828982	2230.31425921829	0
99	1288.630319529922	2229.745098503355	0
100	1288.631164474298	2229.744973402898	0
101	1338.445170796317	2213.227064147996	0
102	1338.445664165476	2213.227128283001	0
103	1339.374645349256	2212.797469261985	0
104	1338.445237368561	2213.226963175112	0
105	1339.373999755873	2212.7974300743	0
106	1339.373720881602	2212.797692092299	0
